cell_line__name,factor__name,is_correcting,strain__name,cell_pop__name,paper__reference,cell_type__name,paper__pmid,paper__journal__name,name,disease_state__name,link,unique_id,species__name,tissue_type__name,paper__lab
,H3K27ac,False,,,"Mikkelsen TS, et al. Comparative epigenomic analysis of murine and human adipogenesis. Cell 2010",Stromal Cell,20887899.0,Cell,hASC_t4_H3K27ac,Normal,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM534489,GSM534489,Homo sapiens,Adipose,Rosen ED
,H3K27ac,False,,,"Mikkelsen TS, et al. Comparative epigenomic analysis of murine and human adipogenesis. Cell 2010",Stromal Cell,20887899.0,Cell,hASC_t3_H3K27ac,Normal,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM534482,GSM534482,Homo sapiens,Adipose,Rosen ED
iPS DF 19.11,H3K27ac,False,,,"Lister R, et al. Human DNA methylomes at base resolution show widespread epigenomic differences. Nature 2009",iPSC,19829295.0,Nature,Reference Epigenome: ChIP-Seq Analysis of H3K27ac in iPS 19.11 Cells; renlab.H3K27ac.iPS-19.11.02.01,Normal,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM752965,GSM752965,Homo sapiens,Foreskin,Ren B
iPS DF 19.11,H3K27ac,False,,,"Lister R, et al. Human DNA methylomes at base resolution show widespread epigenomic differences. Nature 2009",iPSC,19829295.0,Nature,Reference Epigenome: ChIP-Seq Analysis of H3K27ac in iPS 19.11 Cells; renlab.H3K27ac.iPS-19.11.03.01,Normal,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM752966,GSM752966,Homo sapiens,Foreskin,Ren B
H1,H3K27ac,False,,,"Lister R, et al. Human DNA methylomes at base resolution show widespread epigenomic differences. Nature 2009",Embryonic Stem Cell,19829295.0,Nature,Reference Epigenome: ChIP-Seq Analysis of H3K27ac in Mesenchymal Stem Cells; renlab.H3K27ac.MSC.01.01,Normal,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM767341,GSM767341,Homo sapiens,Embryo,Ren B
H1,H3K27ac,False,,,"Lister R, et al. Human DNA methylomes at base resolution show widespread epigenomic differences. Nature 2009",Embryonic Stem Cell,19829295.0,Nature,Reference Epigenome: ChIP-Seq Analysis of H3K27ac in Mesenchymal Stem Cells; renlab.H3K27ac.MSC.02.01,Normal,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM767342,GSM767342,Homo sapiens,Embryo,Ren B
H1,H3K27ac,False,,,"Lister R, et al. Human DNA methylomes at base resolution show widespread epigenomic differences. Nature 2009",Embryonic Stem Cell,19829295.0,Nature,Reference Epigenome: ChIP-Seq Analysis of H3K27ac in Neural Progenitor Cells; renlab.H3K27ac.NPC.03.01,Normal,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM818031,GSM818031,Homo sapiens,Embryo,Ren B
H1,H3K27ac,False,,,"Lister R, et al. Human DNA methylomes at base resolution show widespread epigenomic differences. Nature 2009",Embryonic Stem Cell,19829295.0,Nature,Reference Epigenome: ChIP-Seq Analysis of H3K27ac in BMP4 Mesendoderm Cells; renlab.H3K27ac.BMP4M.03.01,Normal,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM864035,GSM864035,Homo sapiens,Embryo,Ren B
,H3K27ac,False,,,"Bernstein BE, et al. The NIH Roadmap Epigenomics Mapping Consortium. Nat. Biotechnol. 2010",Smooth Muscle Cell,20944595.0,Nat. Biotechnol.,ChIP-Seq analysis of H3K27ac in human Duodenum smooth muscle cells; DNA_Lib 462,Normal,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM772908,GSM772908,Homo sapiens,Duodenum,Thomson JA
,H3K27ac,False,,CD4+,"Bernstein BE, et al. The NIH Roadmap Epigenomics Mapping Consortium. Nat. Biotechnol. 2010",T Lymphocyte,20944595.0,Nat. Biotechnol.,ChIP-Seq analysis of H3K27ac in human CD25- IL17+ Th17 stim cells; DNA_Lib 741,Normal,http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM772987,GSM772987,Homo sapiens,Blood,Thomson JA
