ID,Species,Factor,Cell Type,Tissue Type,Paper Reference,Paper PMID
GSM1009626,Homo sapiens,H3K27ac,Endothelial Cell,Umbilical Vein,"Zhang B, et al. A dynamic H3K27ac signature identifies VEGFA-stimulated endothelial enhancers and requires EP300 activity. Genome Res. 2013",23547170.0
GSM1013131,Homo sapiens,H3K27ac,Epithelium,Small Intestine,"Lister R, et al. Human DNA methylomes at base resolution show widespread epigenomic differences. Nature 2009",19829295.0
GSM1033757,Homo sapiens,H3K27ac,Plasma Cell,,,
GSM1057016,Homo sapiens,H3K27ac,Monocyte,Blood,"Qiao Y, et al. Synergistic activation of inflammatory cytokine genes by interferon-γ-induced chromatin remodeling and toll-like receptor signaling. Immunity 2013",24012417.0
GSM1057017,Homo sapiens,H3K27ac,Monocyte,Blood,"Qiao Y, et al. Synergistic activation of inflammatory cytokine genes by interferon-γ-induced chromatin remodeling and toll-like receptor signaling. Immunity 2013",24012417.0
GSM1057018,Homo sapiens,H3K27ac,Monocyte,Blood,"Qiao Y, et al. Synergistic activation of inflammatory cytokine genes by interferon-γ-induced chromatin remodeling and toll-like receptor signaling. Immunity 2013",24012417.0
GSM1057020,Homo sapiens,H3K27ac,Monocyte,Blood,"Qiao Y, et al. Synergistic activation of inflammatory cytokine genes by interferon-γ-induced chromatin remodeling and toll-like receptor signaling. Immunity 2013",24012417.0
GSM1057021,Homo sapiens,H3K27ac,Monocyte,Blood,"Qiao Y, et al. Synergistic activation of inflammatory cytokine genes by interferon-γ-induced chromatin remodeling and toll-like receptor signaling. Immunity 2013",24012417.0
GSM1057022,Homo sapiens,H3K27ac,Monocyte,Blood,"Qiao Y, et al. Synergistic activation of inflammatory cytokine genes by interferon-γ-induced chromatin remodeling and toll-like receptor signaling. Immunity 2013",24012417.0
GSM1057023,Homo sapiens,H3K27ac,Monocyte,Blood,"Qiao Y, et al. Synergistic activation of inflammatory cytokine genes by interferon-γ-induced chromatin remodeling and toll-like receptor signaling. Immunity 2013",24012417.0
GSM1058765,Homo sapiens,H3K27ac,Epithelium,Fetal Large Intestine,"Bernstein BE, et al. The NIH Roadmap Epigenomics Mapping Consortium. Nat. Biotechnol. 2010",20944595.0
GSM1058766,Homo sapiens,H3K27ac,Epithelium,Fetal Small Intestine,"Bernstein BE, et al. The NIH Roadmap Epigenomics Mapping Consortium. Nat. Biotechnol. 2010",20944595.0
GSM1127060,Homo sapiens,H3K27ac,Fibroblast,Foreskin,"Bernstein BE, et al. The NIH Roadmap Epigenomics Mapping Consortium. Nat. Biotechnol. 2010",20944595.0
GSM1127172,Homo sapiens,H3K27ac,Epithelium,Small Intestine,"Lister R, et al. Human DNA methylomes at base resolution show widespread epigenomic differences. Nature 2009",19829295.0
GSM1154045,Homo sapiens,H3K27ac,Endothelial Cell,Umbilical Vein,"Jin F, et al. A high-resolution map of the three-dimensional chromatin interactome in human cells. Nature 2013",24141950.0
GSM1154046,Homo sapiens,H3K27ac,Endothelial Cell,Umbilical Vein,"Jin F, et al. A high-resolution map of the three-dimensional chromatin interactome in human cells. Nature 2013",24141950.0
GSM1154047,Homo sapiens,H3K27ac,Fibroblast,Lung,"Jin F, et al. A high-resolution map of the three-dimensional chromatin interactome in human cells. Nature 2013",24141950.0
GSM1214674,Homo sapiens,H3K27ac,Endothelial Cell,Umbilical Vein,"Inoue T, et al. Cross-enhancement of ANGPTL4 transcription by HIF1 alpha and PPAR beta/delta is the result of the conformational proximity of two response elements. Genome Biol. 2014",24721177.0
GSM1214675,Homo sapiens,H3K27ac,Endothelial Cell,Umbilical Vein,"Inoue T, et al. Cross-enhancement of ANGPTL4 transcription by HIF1 alpha and PPAR beta/delta is the result of the conformational proximity of two response elements. Genome Biol. 2014",24721177.0
GSM1214676,Homo sapiens,H3K27ac,Endothelial Cell,Umbilical Vein,"Inoue T, et al. Cross-enhancement of ANGPTL4 transcription by HIF1 alpha and PPAR beta/delta is the result of the conformational proximity of two response elements. Genome Biol. 2014",24721177.0
GSM1214677,Homo sapiens,H3K27ac,Endothelial Cell,Umbilical Vein,"Inoue T, et al. Cross-enhancement of ANGPTL4 transcription by HIF1 alpha and PPAR beta/delta is the result of the conformational proximity of two response elements. Genome Biol. 2014",24721177.0
GSM1226370,Homo sapiens,H3K27ac,Endothelial Cell,Umbilical Vein,"Inoue T, et al. Cross-enhancement of ANGPTL4 transcription by HIF1 alpha and PPAR beta/delta is the result of the conformational proximity of two response elements. Genome Biol. 2014",24721177.0
GSM1226371,Homo sapiens,H3K27ac,Endothelial Cell,Umbilical Vein,"Inoue T, et al. Cross-enhancement of ANGPTL4 transcription by HIF1 alpha and PPAR beta/delta is the result of the conformational proximity of two response elements. Genome Biol. 2014",24721177.0
GSM1233891,Homo sapiens,H3K27ac,B Lymphocyte,Blood,"Kasowski M, et al. Extensive variation in chromatin states across humans. Science 2013",24136358.0
GSM1233895,Homo sapiens,H3K27ac,B Lymphocyte,Blood,"Kasowski M, et al. Extensive variation in chromatin states across humans. Science 2013",24136358.0
GSM1233917,Homo sapiens,H3K27ac,Lymphoblastoid,Blood,"Kasowski M, et al. Extensive variation in chromatin states across humans. Science 2013",24136358.0
GSM1233937,Homo sapiens,H3K27ac,Lymphoblastoid,Blood,"Kasowski M, et al. Extensive variation in chromatin states across humans. Science 2013",24136358.0
GSM1233995,Homo sapiens,H3K27ac,Lymphoblastoid,Blood,"Kasowski M, et al. Extensive variation in chromatin states across humans. Science 2013",24136358.0
GSM1254210,Homo sapiens,H3K27ac,B Lymphocyte,Bone Marrow,"Chapuy B, et al. Discovery and characterization of super-enhancer-associated dependencies in diffuse large B cell lymphoma. Cancer Cell 2013",24332044.0
GSM1305205,Homo sapiens,H3K27ac,Endothelial Cell,Umbilical Vein,"Brown JD, et al. NF-κB directs dynamic super enhancer formation in inflammation and atherogenesis. Mol. Cell 2014",25263595.0
GSM1327357,Homo sapiens,H3K27ac,Macrophage,,"Reschen ME, et al. Lipid-induced epigenomic changes in human macrophages identify a coronary artery disease-associated variant that regulates PPAP2B Expression through Altered C/EBP-beta binding. PLoS Genet. 2015",25835000.0
GSM1327358,Homo sapiens,H3K27ac,Macrophage,,"Reschen ME, et al. Lipid-induced epigenomic changes in human macrophages identify a coronary artery disease-associated variant that regulates PPAP2B Expression through Altered C/EBP-beta binding. PLoS Genet. 2015",25835000.0
GSM1327360,Homo sapiens,H3K27ac,Macrophage,,"Reschen ME, et al. Lipid-induced epigenomic changes in human macrophages identify a coronary artery disease-associated variant that regulates PPAP2B Expression through Altered C/EBP-beta binding. PLoS Genet. 2015",25835000.0
GSM1328982,Homo sapiens,H3K27ac,Epithelium,Prostate,"Asangani IA, et al. Therapeutic targeting of BET bromodomain proteins in castration-resistant prostate cancer. Nature 2014",24759320.0
GSM1333980,Homo sapiens,H3K27ac,B Lymphocyte,Blood,"Gasper WC, et al. Fully automated high-throughput chromatin immunoprecipitation for ChIP-seq: identifying ChIP-quality p300 monoclonal antibodies. Sci Rep 2014",24919486.0
GSM1386346,Homo sapiens,H3K27ac,B cell lymphoma,,"Sabò A, et al. Selective transcriptional regulation by Myc in cellular growth control and lymphomagenesis. Nature 2014",25043028.0
GSM1418963,Homo sapiens,H3K27ac,Fibroblast,Lung,"Sammons MA, et al. TP53 engagement with the genome occurs in distinct local chromatin environments via pioneer factor activity. Genome Res. 2015",25391375.0
GSM1420843,Homo sapiens,H3K27ac,Lymphoblastoid,Blood,"del Rosario RC, et al. Sensitive detection of chromatin-altering polymorphisms reveals autoimmune disease mechanisms. Nat. Methods 2015",25799442.0
GSM1420868,Homo sapiens,H3K27ac,Lymphoblastoid,Blood,"del Rosario RC, et al. Sensitive detection of chromatin-altering polymorphisms reveals autoimmune disease mechanisms. Nat. Methods 2015",25799442.0
GSM1446920,Homo sapiens,H3K27ac,Keratinocyte,,"Kouwenhoven EN, et al. Transcription factor p63 bookmarks and regulates dynamic enhancers during epidermal differentiation. EMBO Rep. 2015",26034101.0
GSM1517089,Homo sapiens,H3K27ac,Epithelium,Cervix,"Kuznetsova T, et al. Glucocorticoid receptor and nuclear factor kappa-b affect three-dimensional chromatin organization. Genome Biol. 2015",26619937.0
GSM1517090,Homo sapiens,H3K27ac,Epithelium,Cervix,"Kuznetsova T, et al. Glucocorticoid receptor and nuclear factor kappa-b affect three-dimensional chromatin organization. Genome Biol. 2015",26619937.0
GSM1523586,Homo sapiens,H3K27ac,B Lymphocyte,Tonsil,"Koues OI, et al. Enhancer sequence variants and transcription-factor deregulation synergize to construct pathogenic regulatory circuits in B-cell lymphoma. Immunity 2015",25607463.0
GSM1523602,Homo sapiens,H3K27ac,B Lymphocyte,Tonsil,"Koues OI, et al. Enhancer sequence variants and transcription-factor deregulation synergize to construct pathogenic regulatory circuits in B-cell lymphoma. Immunity 2015",25607463.0
GSM1550809,Homo sapiens,H3K27ac,Lymphoblastoid,,"Grubert F, et al. Genetic Control of Chromatin States in Humans Involves Local and Distal Chromosomal Interactions. Cell 2015",26300125.0
GSM1550864,Homo sapiens,H3K27ac,Lymphoblastoid,,"Grubert F, et al. Genetic Control of Chromatin States in Humans Involves Local and Distal Chromosomal Interactions. Cell 2015",26300125.0
GSM1550883,Homo sapiens,H3K27ac,Lymphoblastoid,,"Grubert F, et al. Genetic Control of Chromatin States in Humans Involves Local and Distal Chromosomal Interactions. Cell 2015",26300125.0
GSM1550925,Homo sapiens,H3K27ac,Lymphoblastoid,,"Grubert F, et al. Genetic Control of Chromatin States in Humans Involves Local and Distal Chromosomal Interactions. Cell 2015",26300125.0
