ID,Species,Factor,Cell Type,Tissue Type,Paper Reference,Paper PMID
GSM315956,Homo sapiens,H3K4me3,T Lymphocyte,Blood,"Araki Y, et al. Genome-wide analysis of histone methylation reveals chromatin state-based regulation of gene transcription and function of memory CD8+ T cells. Immunity 2009",19523850.0
GSM327662,Homo sapiens,H3K4me3,Embryonic Stem Cell,Embryo,"Ku M, et al. Genomewide analysis of PRC1 and PRC2 occupancy identifies two classes of bivalent domains. PLoS Genet. 2008",18974828.0
GSM353653,Homo sapiens,H3K4me3,Epithelium,Prostate,"Yu J, et al. An integrated network of androgen receptor, polycomb, and TMPRSS2-ERG gene fusions in prostate cancer progression. Cancer Cell 2010",20478527.0
GSM418300,Homo sapiens,H3K4me3,Epithelium,Cervix,"Wang Z, et al. Genome-wide mapping of HATs and HDACs reveals distinct functions in active and inactive genes. Cell 2009",19698979.0
GSM432392,Homo sapiens,H3K4me3,Embryonic Stem Cell,Embryo,"Bernstein BE, et al. The NIH Roadmap Epigenomics Mapping Consortium. Nat. Biotechnol. 2010",20944595.0
GSM501713,Homo sapiens,H3K4me3,Epithelium,Cervix,"Barski A, et al. Pol II and its associated epigenetic marks are present at Pol III-transcribed noncoding RNA genes. Nat. Struct. Mol. Biol. 2010",20418881.0
GSM503906,Homo sapiens,H3K4me3,Epithelium,Prostate,"He HH, et al. Nucleosome dynamics define transcriptional enhancers. Nat. Genet. 2010",20208536.0
GSM503907,Homo sapiens,H3K4me3,Epithelium,Prostate,"He HH, et al. Nucleosome dynamics define transcriptional enhancers. Nat. Genet. 2010",20208536.0
GSM529408,Homo sapiens,H3K4me3,Embryonic Stem Cell,Embryo,"Lengner CJ, et al. Derivation of pre-X inactivation human embryonic stem cells under physiological oxygen concentrations. Cell 2010",20471072.0
GSM529412,Homo sapiens,H3K4me3,Embryonic Stem Cell,Embryo,"Lengner CJ, et al. Derivation of pre-X inactivation human embryonic stem cells under physiological oxygen concentrations. Cell 2010",20471072.0
GSM529413,Homo sapiens,H3K4me3,Embryonic Stem Cell,Embryo,"Lengner CJ, et al. Derivation of pre-X inactivation human embryonic stem cells under physiological oxygen concentrations. Cell 2010",20471072.0
